M_F,M,F
0.002663949274940281,0.0005045138298751768,0.3933456388900767
9.586356681145591e-30,1.5476837678186965e-13,9.09889553923085e-18
2.332109935059908e-96,1.101568133915435e-43,2.0192722003100635e-54
1.5626186168660152e-103,8.916581413679629e-53,1.3304527180414035e-52
5.146058032264679e-142,3.863629774085928e-74,4.324346980584564e-70
7.47712326179367e-77,4.122999722763468e-34,1.7818646418497964e-44
3.933730333353254e-35,9.294507176366016e-22,2.415771368358012e-15
5.365535913664586e-126,4.517277021872781e-68,2.4769709219256466e-60
1.2908537446434705e-06,6.763136720691684e-06,0.01837028568343123
1.8822371638221658e-97,5.5310733584309625e-44,2.4255651636182814e-55
0.010019924299131544,0.9522769356482801,0.0008335074091706707
1.2959338926958288e-40,5.2341591738273285e-21,1.90054434890964e-21
2.92244722274096e-70,6.631108290020857e-43,3.254327422962771e-30
7.883846410925873e-102,1.7642003147975836e-50,3.688504333817405e-53
1.9348550541529784e-103,2.709518169754686e-50,4.03760179579534e-55
8.43166160390294e-130,2.859065687162819e-57,1.9239455607742416e-74
1.868517111448394e-96,6.55970478218334e-51,1.0282732423504012e-47
3.4402559574701325e-39,2.3100217585811236e-18,1.6053351155296334e-22
3.6617243740108394e-38,2.3809617503906707e-16,8.998407844864828e-24
9.00145526128657e-196,2.159750081957918e-93,2.887752539924262e-104
2.036809576342603e-107,6.936037718800577e-50,2.7664805076501017e-59
1.431902661735188e-78,9.846867748483331e-33,3.374555650693123e-48
8.073521248626773e-22,9.364339071229886e-10,1.3362021849125268e-13
3.3580194321289892e-65,1.6480661748249168e-25,6.176012906893234e-42
1.4748362266489284e-248,1.3106856799911293e-109,2.1287907022576405e-141
8.072391169518823e-12,9.039492835094846e-07,2.02503770842147e-06
4.3826244258201485e-141,9.568855875247408e-66,2.4355939583779677e-77
7.561900605737337e-78,3.785108714260794e-37,1.8284718833116117e-42
4.534189288754739e-65,4.062554855414961e-37,3.304834740311825e-30
6.029657075597414e-15,6.534785551369586e-06,9.923399787182466e-11
5.43573020599937e-161,5.574743409682539e-81,5.140366878680792e-82
